phase,delta_R,delta_B,delta_G,P,H,H_first,H_last,G_R_percent,H_G_percent,H_first_G_percent,H_last_G_percent,retention_percent,retained,total
initial_validation,0.0032597536192247446,0.0025231162908740876,0.000736637328350657,0.000473537131052145,0.00026310028226429874,0.00011050655925635111,0.0004156940052722463,22.597944949159956,35.71639287590605,15.0014878425693,56.431297909242794,98.77900931201046,5736750,5807661
initial_confirmation,0.003366111481024873,0.0025645050928373055,0.0008016063881875671,0.0004737918524864027,0.0003278146487880479,0.00017597725779913538,0.00047965203977696054,23.814017827582575,40.89471511438889,21.953075772889004,59.836354455888795,98.75286206671773,5817381,5890848
fresh_validation,0.003344476659807033,0.0025385200645190796,0.0008059565952879534,0.0005045664367880771,0.0003013902433134424,0.00012810850221339363,0.0004746719844134913,24.09813783345269,37.39534424999167,15.89521110223347,58.8954773977499,98.70051032089064,5975169,6053838
fresh_confirmation,0.0033897145792339766,0.0026191624931892906,0.000770552086044686,0.0005006348115721915,0.0002699174038521684,0.00010239413484301762,0.0004374406728613192,22.73206395503715,35.02909261302231,13.288411866953217,56.7697733590914,98.44262212918662,5794253,5885919
pythia160_validation,0.005858739295556773,0.005085175369911267,0.0007735639256455064,0.000608489212502071,0.0001650750093774312,3.295094389073903e-05,0.0002971990748641233,13.20359016882987,21.33954336607451,4.259627782311961,38.41945894983704,97.94239621212196,5929274,6053838
pythia160_confirmation,0.0059967664983696205,0.005202150820879759,0.0007946156774898623,0.0006088918880063772,0.00018572413207793343,4.3191620399417346e-05,0.00032825664375644954,13.250735670730212,23.37282504475919,5.435535897788574,41.31011419172981,97.69719902703385,5750378,5885919
smollm2_validation,0.0011111935751265754,0.0009819876843600271,0.00012920589076654835,0.00012630976914477138,2.8961993819231245e-06,2.6667051331995865e-06,3.125693630646646e-06,11.627667191274984,2.2415381874159532,2.063919158312866,2.4191572165190274,97.43773988279173,7013360,7197786
smollm2_confirmation,0.0011259721766019699,0.0009853286384875753,0.00014064353811439482,0.00011905960851787065,2.158397529269673e-05,2.203264353966552e-05,2.1135307045727958e-05,12.490853773921643,15.34658156504925,15.665592486549148,15.027570643549364,97.4627502874663,7013055,7195626
