setting,method,scope,target_id,outer_fold,phase,auc
pythia160,fisher,phase_fold_mean,,,pythia160_confirmation,0.8473669389104743
pythia160,fisher,phase_fold_mean,,,pythia160_validation,0.8611365984403269
pythia160,geometry_only,phase_fold_mean,,,pythia160_confirmation,0.8221607615248935
pythia160,geometry_only,phase_fold_mean,,,pythia160_validation,0.8366552970080884
pythia160,geometry_position,phase_fold_mean,,,pythia160_confirmation,0.8263971765774979
pythia160,geometry_position,phase_fold_mean,,,pythia160_validation,0.8405599958798982
pythia160,mean_only,phase_fold_mean,,,pythia160_confirmation,0.8429830695374446
pythia160,mean_only,phase_fold_mean,,,pythia160_validation,0.8521973344917534
pythia160,min_k_plus_plus_20,phase_fold_mean,,,pythia160_confirmation,0.8136474949258731
pythia160,min_k_plus_plus_20,phase_fold_mean,,,pythia160_validation,0.8235601692326499
pythia160,negative_loss,phase_fold_mean,,,pythia160_confirmation,0.7824584259480372
pythia160,negative_loss,phase_fold_mean,,,pythia160_validation,0.7985061680515203
pythia160,ordinary,phase_fold_mean,,,pythia160_confirmation,0.8448731957654707
pythia160,ordinary,phase_fold_mean,,,pythia160_validation,0.8590063571137173
pythia160,rich_likelihood,phase_fold_mean,,,pythia160_confirmation,0.8530412174465226
pythia160,rich_likelihood,phase_fold_mean,,,pythia160_validation,0.8611328298410911
pythia160,without_concentration,phase_fold_mean,,,pythia160_confirmation,0.8463164131385913
pythia160,without_concentration,phase_fold_mean,,,pythia160_validation,0.8623870823143007
pythia160,without_divergence,phase_fold_mean,,,pythia160_confirmation,0.8446602458417305
pythia160,without_divergence,phase_fold_mean,,,pythia160_validation,0.8605387780499487
pythia160,without_geometry,phase_fold_mean,,,pythia160_confirmation,0.8433362479214551
pythia160,without_geometry,phase_fold_mean,,,pythia160_validation,0.8588981813208695
pythia160,without_likelihood,phase_fold_mean,,,pythia160_confirmation,0.8207503497723019
pythia160,without_likelihood,phase_fold_mean,,,pythia160_validation,0.8286091890065671
pythia160,without_peak,phase_fold_mean,,,pythia160_confirmation,0.8450153131671588
pythia160,without_peak,phase_fold_mean,,,pythia160_validation,0.8621893454696121
pythia160,without_trajectory,phase_fold_mean,,,pythia160_confirmation,0.8475602450488512
pythia160,without_trajectory,phase_fold_mean,,,pythia160_validation,0.8611001983722272
smollm2,cats_full,phase_fold_mean,,,smollm2_confirmation,0.6337353072224883
smollm2,cats_full,phase_fold_mean,,,smollm2_validation,0.623750728787661
smollm2,cats_likelihood,phase_fold_mean,,,smollm2_confirmation,0.6343967009011744
smollm2,cats_likelihood,phase_fold_mean,,,smollm2_validation,0.6243661333807043
smollm2,combined,phase_fold_mean,,,smollm2_confirmation,0.6333713396368723
