setting,method,scope,target_id,outer_fold,phase,auc
fresh,without_divergence,target_id_fold_mean,70m_6,,,0.7577291049389298
fresh,without_geometry,target_id_fold_mean,70m_1,,,0.7569143194441953
fresh,without_geometry,target_id_fold_mean,70m_2,,,0.7660227749480464
fresh,without_geometry,target_id_fold_mean,70m_3,,,0.793652940987539
fresh,without_geometry,target_id_fold_mean,70m_4,,,0.7476855105186218
fresh,without_geometry,target_id_fold_mean,70m_5,,,0.7286408339762315
fresh,without_geometry,target_id_fold_mean,70m_6,,,0.7554549925202567
fresh,without_likelihood,target_id_fold_mean,70m_1,,,0.6999382967539917
fresh,without_likelihood,target_id_fold_mean,70m_2,,,0.7364355681950048
fresh,without_likelihood,target_id_fold_mean,70m_3,,,0.7309237383257169
fresh,without_likelihood,target_id_fold_mean,70m_4,,,0.7336220479886114
fresh,without_likelihood,target_id_fold_mean,70m_5,,,0.6932786423016479
fresh,without_likelihood,target_id_fold_mean,70m_6,,,0.7264619654735393
fresh,without_peak,target_id_fold_mean,70m_1,,,0.7486252023995644
fresh,without_peak,target_id_fold_mean,70m_2,,,0.7524733562751404
fresh,without_peak,target_id_fold_mean,70m_3,,,0.7773218230408283
fresh,without_peak,target_id_fold_mean,70m_4,,,0.7600784117658316
fresh,without_peak,target_id_fold_mean,70m_5,,,0.7394491991694961
fresh,without_peak,target_id_fold_mean,70m_6,,,0.7572948062997695
fresh,without_trajectory,target_id_fold_mean,70m_1,,,0.7308175864909938
fresh,without_trajectory,target_id_fold_mean,70m_2,,,0.7530204862060488
fresh,without_trajectory,target_id_fold_mean,70m_3,,,0.7762929626341906
fresh,without_trajectory,target_id_fold_mean,70m_4,,,0.7654444255248292
fresh,without_trajectory,target_id_fold_mean,70m_5,,,0.7422982736598602
fresh,without_trajectory,target_id_fold_mean,70m_6,,,0.7399785885523844
initial,cats_full,target_id_fold_mean,con_1,,,0.6926198345348193
initial,cats_full,target_id_fold_mean,con_2,,,0.7712994439593832
initial,cats_full,target_id_fold_mean,con_3,,,0.7413353664026399
initial,cats_full,target_id_fold_mean,val_1,,,0.7386184416228125
initial,cats_full,target_id_fold_mean,val_2,,,0.7496238685946207
initial,cats_full,target_id_fold_mean,val_3,,,0.7277630292824379
initial,cats_likelihood,target_id_fold_mean,con_1,,,0.6905341832023668
initial,cats_likelihood,target_id_fold_mean,con_2,,,0.7705986788888121
initial,cats_likelihood,target_id_fold_mean,con_3,,,0.7408366258168394
initial,cats_likelihood,target_id_fold_mean,val_1,,,0.7389470964014979
initial,cats_likelihood,target_id_fold_mean,val_2,,,0.7501614015568759
initial,cats_likelihood,target_id_fold_mean,val_3,,,0.7296545957729718
initial,combined,target_id_fold_mean,con_1,,,0.7124015936527479
initial,combined,target_id_fold_mean,con_2,,,0.7608347832823495
initial,combined,target_id_fold_mean,con_3,,,0.7581910463990664
initial,combined,target_id_fold_mean,val_1,,,0.7456936331227622
initial,combined,target_id_fold_mean,val_2,,,0.7528752762828382
initial,combined,target_id_fold_mean,val_3,,,0.7458260579782687
initial,fisher,target_id_fold_mean,con_1,,,0.7218334945551013
initial,fisher,target_id_fold_mean,con_2,,,0.7594322742947596
initial,fisher,target_id_fold_mean,con_3,,,0.7634407674016565
initial,fisher,target_id_fold_mean,val_1,,,0.7503965248255998
initial,fisher,target_id_fold_mean,val_2,,,0.7592184477172964
initial,fisher,target_id_fold_mean,val_3,,,0.7487318866253643
initial,geometry_only,target_id_fold_mean,con_1,,,0.6765530541753995
initial,geometry_only,target_id_fold_mean,con_2,,,0.7085624933260469
initial,geometry_only,target_id_fold_mean,con_3,,,0.7104630048387468
initial,geometry_only,target_id_fold_mean,val_1,,,0.7145831857082172
initial,geometry_only,target_id_fold_mean,val_2,,,0.7197309775920778
initial,geometry_only,target_id_fold_mean,val_3,,,0.6874886220293999
initial,geometry_position,target_id_fold_mean,con_1,,,0.6900910135265761
initial,geometry_position,target_id_fold_mean,con_2,,,0.7190186148328215
initial,geometry_position,target_id_fold_mean,con_3,,,0.7165918084685396
initial,geometry_position,target_id_fold_mean,val_1,,,0.7156352256186771
initial,geometry_position,target_id_fold_mean,val_2,,,0.7188584068655659
initial,geometry_position,target_id_fold_mean,val_3,,,0.6836256415755103
initial,mean_only,target_id_fold_mean,con_1,,,0.6970930336841826
initial,mean_only,target_id_fold_mean,con_2,,,0.7493595657202041
initial,mean_only,target_id_fold_mean,con_3,,,0.7478376758521199
initial,mean_only,target_id_fold_mean,val_1,,,0.7531418066490196
initial,mean_only,target_id_fold_mean,val_2,,,0.7398722921400728
initial,mean_only,target_id_fold_mean,val_3,,,0.7231374194252382
initial,min_k_plus_plus_20,target_id_fold_mean,con_1,,,0.6936980958383148
initial,min_k_plus_plus_20,target_id_fold_mean,con_2,,,0.7394162515729591
initial,min_k_plus_plus_20,target_id_fold_mean,con_3,,,0.7195423622408847
initial,min_k_plus_plus_20,target_id_fold_mean,val_1,,,0.7244567822703053
initial,min_k_plus_plus_20,target_id_fold_mean,val_2,,,0.7475430882348894
initial,min_k_plus_plus_20,target_id_fold_mean,val_3,,,0.7179825345276653
initial,negative_loss,target_id_fold_mean,con_1,,,0.6662436636704543
initial,negative_loss,target_id_fold_mean,con_2,,,0.6868001108312414
initial,negative_loss,target_id_fold_mean,con_3,,,0.6979338401001112
initial,negative_loss,target_id_fold_mean,val_1,,,0.682755883707695
initial,negative_loss,target_id_fold_mean,val_2,,,0.701628229109612
initial,negative_loss,target_id_fold_mean,val_3,,,0.656580048035331
initial,ordinary,target_id_fold_mean,con_1,,,0.705353367057298
initial,ordinary,target_id_fold_mean,con_2,,,0.7690954132756006
initial,ordinary,target_id_fold_mean,con_3,,,0.7544484174094384
initial,ordinary,target_id_fold_mean,val_1,,,0.7444598116025789
initial,ordinary,target_id_fold_mean,val_2,,,0.743431929390576
initial,ordinary,target_id_fold_mean,val_3,,,0.7565471711757283
initial,rich_likelihood,target_id_fold_mean,con_1,,,0.7124015936527479
initial,rich_likelihood,target_id_fold_mean,con_2,,,0.7608347832823495
initial,rich_likelihood,target_id_fold_mean,con_3,,,0.7581910463990664
initial,rich_likelihood,target_id_fold_mean,val_1,,,0.7456936331227622
initial,rich_likelihood,target_id_fold_mean,val_2,,,0.7528752762828382
initial,rich_likelihood,target_id_fold_mean,val_3,,,0.7458260579782687
initial,without_concentration,target_id_fold_mean,con_1,,,0.7150567486664308
initial,without_concentration,target_id_fold_mean,con_2,,,0.7553887416257157
initial,without_concentration,target_id_fold_mean,con_3,,,0.7545078426363877
initial,without_concentration,target_id_fold_mean,val_1,,,0.7518004522688482
initial,without_concentration,target_id_fold_mean,val_2,,,0.7535123081840353
initial,without_concentration,target_id_fold_mean,val_3,,,0.7543566371551406
initial,without_divergence,target_id_fold_mean,con_1,,,0.7172873879212093
initial,without_divergence,target_id_fold_mean,con_2,,,0.7562933318397638
initial,without_divergence,target_id_fold_mean,con_3,,,0.7493442409281349
initial,without_divergence,target_id_fold_mean,val_1,,,0.7494803361009247
initial,without_divergence,target_id_fold_mean,val_2,,,0.7487438374463053
initial,without_divergence,target_id_fold_mean,val_3,,,0.7513015451748947
initial,without_geometry,target_id_fold_mean,con_1,,,0.6996910718735017
initial,without_geometry,target_id_fold_mean,con_2,,,0.7670030024937029
initial,without_geometry,target_id_fold_mean,con_3,,,0.7490818123699668
initial,without_geometry,target_id_fold_mean,val_1,,,0.7435441069585041
initial,without_geometry,target_id_fold_mean,val_2,,,0.737538111029765
initial,without_geometry,target_id_fold_mean,val_3,,,0.7525500652249942
initial,without_likelihood,target_id_fold_mean,con_1,,,0.6521615075700948
initial,without_likelihood,target_id_fold_mean,con_2,,,0.7069309848695814
initial,without_likelihood,target_id_fold_mean,con_3,,,0.695323445064904
initial,without_likelihood,target_id_fold_mean,val_1,,,0.7098600375033983
initial,without_likelihood,target_id_fold_mean,val_2,,,0.7174593518947225
initial,without_likelihood,target_id_fold_mean,val_3,,,0.6895572466450619
initial,without_peak,target_id_fold_mean,con_1,,,0.7210660649814455
initial,without_peak,target_id_fold_mean,con_2,,,0.7588755654103233
initial,without_peak,target_id_fold_mean,con_3,,,0.755705132365863
initial,without_peak,target_id_fold_mean,val_1,,,0.7514026123792465
initial,without_peak,target_id_fold_mean,val_2,,,0.7477768057231668
initial,without_peak,target_id_fold_mean,val_3,,,0.753252357809954
initial,without_trajectory,target_id_fold_mean,con_1,,,0.7163001698063036
initial,without_trajectory,target_id_fold_mean,con_2,,,0.7525548712354543
initial,without_trajectory,target_id_fold_mean,con_3,,,0.7517241882902747
initial,without_trajectory,target_id_fold_mean,val_1,,,0.7480099617817717
initial,without_trajectory,target_id_fold_mean,val_2,,,0.7588525441693049
initial,without_trajectory,target_id_fold_mean,val_3,,,0.7491474524304506
pythia160,cats_full,target_id_fold_mean,160m_1,,,0.8428125
pythia160,cats_full,target_id_fold_mean,160m_2,,,0.8392375
pythia160,cats_full,target_id_fold_mean,160m_3,,,0.8484
pythia160,cats_likelihood,target_id_fold_mean,160m_1,,,0.8385374999999999
pythia160,cats_likelihood,target_id_fold_mean,160m_2,,,0.83539375
pythia160,cats_likelihood,target_id_fold_mean,160m_3,,,0.8486
pythia160,combined,target_id_fold_mean,160m_1,,,0.8549562500000001
pythia160,combined,target_id_fold_mean,160m_2,,,0.8509062500000001
pythia160,combined,target_id_fold_mean,160m_3,,,0.85993125
pythia160,fisher,target_id_fold_mean,160m_1,,,0.854875
pythia160,fisher,target_id_fold_mean,160m_2,,,0.84909375
pythia160,fisher,target_id_fold_mean,160m_3,,,0.85786875
pythia160,geometry_only,target_id_fold_mean,160m_1,,,0.8305
pythia160,geometry_only,target_id_fold_mean,160m_2,,,0.8229500000000002
pythia160,geometry_only,target_id_fold_mean,160m_3,,,0.83364375
pythia160,geometry_position,target_id_fold_mean,160m_1,,,0.8344374999999999
pythia160,geometry_position,target_id_fold_mean,160m_2,,,0.8278187500000002
pythia160,geometry_position,target_id_fold_mean,160m_3,,,0.8356625
pythia160,mean_only,target_id_fold_mean,160m_1,,,0.84554375
pythia160,mean_only,target_id_fold_mean,160m_2,,,0.8471125
pythia160,mean_only,target_id_fold_mean,160m_3,,,0.8478187499999998
pythia160,min_k_plus_plus_20,target_id_fold_mean,160m_1,,,0.81574375
pythia160,min_k_plus_plus_20,target_id_fold_mean,160m_2,,,0.8161687499999999
pythia160,min_k_plus_plus_20,target_id_fold_mean,160m_3,,,0.8219000000000001
pythia160,negative_loss,target_id_fold_mean,160m_1,,,0.7833124999999999
pythia160,negative_loss,target_id_fold_mean,160m_2,,,0.7906187499999999
pythia160,negative_loss,target_id_fold_mean,160m_3,,,0.79266875
pythia160,ordinary,target_id_fold_mean,160m_1,,,0.8561062499999998
pythia160,ordinary,target_id_fold_mean,160m_2,,,0.8439500000000001
pythia160,ordinary,target_id_fold_mean,160m_3,,,0.8537812499999999
pythia160,rich_likelihood,target_id_fold_mean,160m_1,,,0.8585749999999999
pythia160,rich_likelihood,target_id_fold_mean,160m_2,,,0.851975
pythia160,rich_likelihood,target_id_fold_mean,160m_3,,,0.8599249999999999
pythia160,without_concentration,target_id_fold_mean,160m_1,,,0.85996875
pythia160,without_concentration,target_id_fold_mean,160m_2,,,0.8456812499999999
pythia160,without_concentration,target_id_fold_mean,160m_3,,,0.8562750000000001
pythia160,without_divergence,target_id_fold_mean,160m_1,,,0.8569437499999999
pythia160,without_divergence,target_id_fold_mean,160m_2,,,0.84411875
pythia160,without_divergence,target_id_fold_mean,160m_3,,,0.85565
pythia160,without_geometry,target_id_fold_mean,160m_1,,,0.8557125000000001
pythia160,without_geometry,target_id_fold_mean,160m_2,,,0.8442999999999999
pythia160,without_geometry,target_id_fold_mean,160m_3,,,0.8526562500000001
pythia160,without_likelihood,target_id_fold_mean,160m_1,,,0.83278125
pythia160,without_likelihood,target_id_fold_mean,160m_2,,,0.8190750000000001
pythia160,without_likelihood,target_id_fold_mean,160m_3,,,0.8214312500000001
pythia160,without_peak,target_id_fold_mean,160m_1,,,0.8577375
pythia160,without_peak,target_id_fold_mean,160m_2,,,0.8464875
pythia160,without_peak,target_id_fold_mean,160m_3,,,0.855275
pythia160,without_trajectory,target_id_fold_mean,160m_1,,,0.8584937499999998
pythia160,without_trajectory,target_id_fold_mean,160m_2,,,0.8449625000000001
pythia160,without_trajectory,target_id_fold_mean,160m_3,,,0.8581937500000001
smollm2,cats_full,target_id_fold_mean,smollm2_1,,,0.6265969672389137
smollm2,cats_full,target_id_fold_mean,smollm2_2,,,0.615774609933637
smollm2,cats_full,target_id_fold_mean,smollm2_3,,,0.6288806091904324
